b'1.',"b'The Law of Contract (Amendment) Bill, 2019'",b'Waititu Francis Munyua',b'No. 1 of 2019',b'28/01/19',b'10/02/19',b'3',b'13/02/19',b'26/6/20193/7/2019Committee on 18/09/19',b'18/09/19',b'Passed',b'-'
b'2.',"b'The Livestock and Livestock Products Marketing Board Bill, 2019'","b'Bashir Abdullaih, Member of Parliament'",b'No. 2 of 2019',b'07/02/19',b'20/02/19',b'6',b'20/03/19',b'-',b'-',b'-',b'-'
b'3.',"b'The Institute of Directors of Kenya Bill, 2019'","b'Chris Wamalwa, Member of Parliament'",b'No. 3 of 2019',b'19/02/19',b'04/03/19',b'9',b'20/03/19',b'31/07/1911/09/19',b'-',b'-',b'-'
b'4.',"b'The Industrial Training (Amendment) Bill, 2019'","b'Jude Njomo, Member of Parliament'",b'No. 4 of 2019',b'01/03/19',b'-',b'11',b'-',b'-',b'-',b'-',b'-'
b'5.',"b'The Anti-Corruption and Economic Crimes (Amendment) Bill, 2019'","b'Ndindi Nyoro, Member of Parliament'",b'No. 6 of 2019',b'01/03/19',b'-',b'13',b'20/03/19',b'09/10/1916/10/1930/10/19',b'-',b'-',b'-'
b'6.',"b'The Narcotic Drugs and Psychotropic Substances (Control)(Amendment) Bill, 2019'","b'Mohamed Ali Mohamed, Member of Parliament'",b'No. 7 of 2019',b'01/03/19',b'15/03/19',b'14',b'03/04/19',b'-',b'-',b'-',b'-'
b'7.',"b'The National Youth Council\xc2\xa0 (Amendment) Bill, 2019'","b'Gideon Keter, Member of Parliament'",b'No. 8 of 2019',b'01/03/19',b'-',b'15',b'-',b'-',b'-',b'-',b'-'
b'8.',"b'The Higher Education Loans Board (Amendment) Bill, 2019'","b'Ruweida Mohamed Obo, Member of Parliament'",b'No. 9 of 2019',b'01/03/19',b'-',b'16',b'-',b'-',b'-',b'-',b'-'
b'9.',"b'The National Disaster Management Authority Bill, 2019'","b""Kimani Ichung'wah, Member of Parliament""",b'No. 10 of 2019',b'01/03/19',b'-',b'17',b'-',b'-',b'-',b'-',b'-'
b'10.',"b'The Division of Revenue Bill, 2019'","b""Kimani Ichung'wah, Chairperson, Budget and Appropriations Committee""",b'No. 11 of 2019',b'06/03/19',b'-',b'18',b'-',b'-',b'-',b'-',b'-'
b'11.',"b'The National Cohesion and Integration (Amendment) Bill, 2019'",b'Maina Kamanda',b'No. 12 of 2019',b'13/03/19',b'26/03/19',b'20',b'27/03/19',b'08/05/19Committee Stage09/05/19',b'09/05/19',b'Passed',b'-'
b'12.',"b'The Statutory Instruments (Amendment) Bill, 2019'","b'Muturi Kigano, Member of Parliament'",b'No. 13 of 2019',b'15/03/19',b'-',b'21',b'-',b'-',b'-',b'-',b'-'
b'13.',"b'The Public Order (Amendment) Bill, 2019'","b""Simon King'ara, Member of Parliament""",b'No. 14 of 2019',b'15/03/19',b'29/03/19',b'22',b'24/04/19',b'24/04/19',b'-',b'-',b'-'
b'14.',"b'The Employment (Amendment) Bill, 2019'","b'Martha Wangari, Member of Parliament'",b'No. 15 of 2019',b'15/03/19',b'29/03/19',b'23',b'03/04/19',b'07/08/1918/09/19',b'-',b'-',b'-'
b'15.',"b'The National Government Constituencies Development Fund (Amendment) Bill, 2019'","b'Makali Mulu, Member of Parliament'",b'No. 16 of 2019',b'15/03/19',b'-',b'24',b'-',b'-',b'-',b'-',b'-'
b'16.',"b'The Public Service (Values and Principles)(Amendment) Bill, 2019'","b'Andrew Mwadime, Member of Parliament'",b'No. 17 of 2019',b'15/03/19',b'29/03/19',b'25',b'02/05/19',b'-',b'-',b'-',b'-'
b'17.',"b'The Labour Relations (Amendment) Bill, 2019'","b'Kimani Ichungwa, Member of Parliament'",b'No. 18 of 2019',b'15/03/19',b'29/03/19',b'26',b'24/04/19',b'-',b'-',b'-',b'-'
b'18.',"b'The Kenya Information and Communications (Amendment) Bill, 2019'","b'Elisha Odhiambo, Member of Parliament'",b'No. 20 of 2019',b'15/03/19',b'28/03/19',b'28',b'-',b'-',b'-',b'-',b'-'
b'19.',"b'The Statute Law (Miscellaneous Amendment) Bill, 2019'","b'Aden Duale, Leader of Majority Party'",b'No. 21 of 2019',b'29/03/19',b'02/04/19',b'33',b'03/04/19',"b""09/05/1904/06/19Committee stage:Pending12/6/19President's recommendation""",b'13/06/19',b'Passed',b'-'
b'20.',"b'The Sectional Properties Bill, 2019'","b'Aden Duale, Leader of Majority Party'",b'No. 23 of 2019',b'29/03/19',b'11/04/19',b'35',b'02/05/19',b'08/08/1910/09/2019',b'-',b'-',b'-'
b'21.',"b'The Independent Electoral and Boundaries Commission (Amendment) Bill, 2019'","b'Jude Njomo, Member of Parliament'",b'No. 24 of 2019',b'29/03/19',b'11/04/19',b'36',b'02/05/19',b'-',b'-',b'-',b'-'
b'22.',"b'The National Drought Management Authority (Amendment) Bill, 2019'","b'Aden Duale, Leader of Majority Party'",b'No. 26 of 2019',b'05/04/19',b'18/04/19',b'43',b'02/05/19',b'06/08/1907/08/19Committee stage08/08/19(ongoing)',b'10/09/19',b'-',b'-'
b'23.',"b'The Public Service Commission (Amendment) Bill, 2019'","b'Benjamin Gathiru Mwangi, Member of Parliament'",b'No. 27 of 2019',b'05/04/19',b'18/04/19',b'44',b'02/05/19',b'-',b'07/11/19',b'-',b'-'
b'24.',"b'The Traffic (Amendment) Bill, 2019'","b'Jude Njomo, Member of Parliament'",b'No. 28 of 2019',b'05/04/19',b'-',b'45',b'08/05/19',b'-',b'-',b'-',b'-'
b'25.',"b""The County Governments' Retirement Scheme Bill, 2019""","b'Chachu Ganya, Member of Parliament'",b'No. 29 of 2019',b'05/04/19',b'18/04/19',b'46',b'08/05/19',b'-',b'-',b'-',b'-'
b'26.',"b'The Independent Electoral and Boundaries Commission (Amendment)(No. 2) Bill, 2019'","b'Jeremiah Kioni, Chairperson, Constitutional Implementation Oversight Committee '",b'No. 30 of 2019',b'15/04/19',b'28/03/19',b'53',b'02/05/19',b'-',b'-',b'-',b'-'
b'27.',"b'The Kenya Food and Drugs Authority Bill, 2019'","b'Robert Pukose, Member of Parliament'",b'No. 31 of 2019',b'15/04/19',b'28/03/19',b'54',b'02/05/19',b'-',b'-',b'-',b'-'
b'28.',"b'The Crops (Amendment)(No. 2) Bill, 2019'","b'Moses Kuria, Member of Parliament'",b'No. 32 of 2019',b'15/04/19',b'28/03/19',b'55',b'02/05/19',b'-',b'-',b'-',b'-'
b'29.',"b'The Kenya Institute of Curriculum Development (Amendment) Bill, 2019'","b'Joyce Emanikor, Member of Parliament'",b'No. 33 of 2019',b'15/04/19',b'28/04/19',b'56',b'26/06/19',b'-',b'-',b'-',b'-'
b'30.',"b'The Assisted Reproductive Technology Bill, 2019'","b'Millie Odhiambo Mabona, Member of Parliament'",b'No. 34 of 2019',b'15/04/19',b'28/04/19',b'57',b'-',b'-',b'-',b'-',b'-'
b'31.',"b'The Public Participation (No. 2) Bill, 2019'","b'Chris Wamalwa, Member of Parliament'",b'No. 71 of 2019',b'11/10/19',b'-',b'71',b'-',b'-',b'-',b'-',b'-'
b'32.',"b'The Anti-Corruption and Economic Crimes (Amendment) Bill, 2019'","b'Silas Kipkoech Tiren, Member of Parliament'",b'No. 72 of 2019',b'14/10/19',b'-',b'72',b'-',b'-',b'-',b'-',b'-'
b'33.',"b'The Gaming Bill, 2019'","b'Victor Munyaka, Chairperson, Departmental Committee on Sports, Tourism and Culture'",b'No. 38 of 2019',b'27/05/19',b'10/06/19',b'74',b'11/06/19',b'-',b'-',b'-',b'-'
b'34.',"b'The Constitution of Kenya (Amendment)(No.2) Bill, 2019'","b'George Kariuki GK, Member of Parliament'",b'No. 40 of 2019',b'07/06/19',b'-',b'79',b'-',b'-',b'-',b'-',b'-'
b'35.',"b'The Kenya Uwezo Fund Bill, 2019'","b'D.K. Bowen, Member of Parliament'",b'No. 42 of 2019',b'17/06/19',b'26/06/19',b'86',b'03/07/19',b'-',b'-',b'-',b'-'
b'36.',"b'The Equalisation Fund Bill, 2019'","b'Kassait Kamket, Member of Parliament'",b'No. 43 of 2019',b'18/06/19',b'-',b'87',b'-',b'-',b'-',b'-',b'-'
b'37.',"b'The Data Protection Bill, 2019'","b'Aden Duale, Leader of Majority'",b'No. 44 of 2019',b'21/05/19',b'21/06/19',b'93',b'04/07/19',b'29/10/1930/10/19Committee stage on 06/11/19',b'07/11/19',b'Passed on 07/11/19',b'-'
b'38.',"b'The Parliamentary Pensions (Amendment) Bill, 2019'","b""John Mbadi Ng'ongo, Member of Parliament""",b'No. 45 of 2019',b'21/06/19',b'18/04/19',b'94',b'-',b'-',b'-',b'-',b'-'
b'39.',"b'The Radiographers Bill, 2019'","b'Sabina W Chege, Member of Parliament'",b'No. 47 of 2019',b'25/06/19',b'-',b'97',b'25/07/19',b'08/07/19',b'-',b'-',b'-'
b'40.',"b'The Competition (Amendment) Bill, 2019'","b'Aden Duale, Leader of Majority'",b'No. 49 of 2019',b'01/07/19',b'-',b'102',b'14/07/19',b'23/07/19',b'-',b'-',b'-'
b'41.',"b'The Insurance (Amendment) Bill, 2019'","b'Aden Duale, Leader of Majority'",b'No. 50 of 2019',b'01/07/19',b'14/07/19',b'103',b'23/07/19',b'-',b'-',b'-',b'-'
